unique_id,birth_year,workclass,fnlwgt,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
b788ecae-24d3-4d2f-be70-291c656cfe35,2006, ?,137363, Never-married, ?, Own-child, White, Female,0,0,30, United-States,139650
c50f5eec-eee7-4f71-92ad-5fd2baace470,1989, Private,188041, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,80122
42dbe1ab-593f-4d41-b72f-32bb2081c64c,1999, Private,178478, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,115722
008c8da5-1688-4b85-a0d0-0516405c84d0,1981, Private,177905, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,3908,0,40, United-States,97534
32084da0-d75e-4f29-8c86-b7d120cdb759,1988, ?,389850, Married-spouse-absent, ?, Unmarried, Black, Male,0,0,50, United-States,113779
9b7b92e6-34a5-4fa0-910c-31d9c5d013bf,1973, Self-emp-inc,258735, Divorced, Protective-serv, Not-in-family, White, Male,0,0,81, United-States,78441
916c9e7e-51a0-48e2-b196-df78306a48a7,1968, Private,76281, Married-spouse-absent, Prof-specialty, Unmarried, White, Female,0,0,40, United-States,105791
cc0f9078-35ce-4712-9950-b4ffd37660aa,1974, Local-gov,74660, Widowed, Prof-specialty, Unmarried, White, Male,0,0,40, United-States,134114
fb59e2b8-1b16-482d-9e9f-c2f8a80a2dfb,1982, Private,165916, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, United-States,83703
4318e3fc-b2bb-4d14-a12d-4d0dcbb674fe,1996, Private,22422, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,62839
744caa07-7bc9-46fa-a09b-0614e8cd9a47,2002, ?,199426, Never-married, ?, Not-in-family, White, Female,0,0,40, United-States,77950
33bdf8a2-edca-4345-98c0-da1fe7b50f53,1988, Private,43712, Married-civ-spouse, Craft-repair, Husband, White,,0,0,40, United-States,78618
f8146267-ac97-4b34-939f-d73ac82f7716,1973, Private,310774, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,127019
15bec1b1-1d69-4bf5-94fa-c720a3029582,1985, Private,230054, Married-civ-spouse, Prof-specialty, Husband, White,,0,0,50, United-States,134756
5825da68-9148-4059-a0f9-1392cf90a8e4,1994, Private,194901, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States,86522
b4455d3f-2c5f-4f58-a431-f043b11f3643,1988, Private,126946, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,129159
fed881be-f63d-48ac-89c1-9e8f09995586,1973, Self-emp-not-inc,199005, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,73756
ef2d1f25-ba7c-45fb-baa2-abe49bbfc21a,1984, Private,137142, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,64699
