unique_id,education,education-num
b788ecae-24d3-4d2f-be70-291c656cfe35, Some-college,10
c50f5eec-eee7-4f71-92ad-5fd2baace470, Some-college,10
42dbe1ab-593f-4d41-b72f-32bb2081c64c, Bachelors,13
008c8da5-1688-4b85-a0d0-0516405c84d0, HS-grad,9
32084da0-d75e-4f29-8c86-b7d120cdb759, HS-grad,9
9b7b92e6-34a5-4fa0-910c-31d9c5d013bf, HS-grad,9
916c9e7e-51a0-48e2-b196-df78306a48a7, Bachelors,13
cc0f9078-35ce-4712-9950-b4ffd37660aa, Some-college,10
fb59e2b8-1b16-482d-9e9f-c2f8a80a2dfb, Bachelors,13
4318e3fc-b2bb-4d14-a12d-4d0dcbb674fe, HS-grad,9
744caa07-7bc9-46fa-a09b-0614e8cd9a47, Some-college,10
33bdf8a2-edca-4345-98c0-da1fe7b50f53, 10th,6
f8146267-ac97-4b34-939f-d73ac82f7716, Prof-school,15
15bec1b1-1d69-4bf5-94fa-c720a3029582, Masters,14
5825da68-9148-4059-a0f9-1392cf90a8e4, HS-grad,9
b4455d3f-2c5f-4f58-a431-f043b11f3643, Some-college,10
fed881be-f63d-48ac-89c1-9e8f09995586, Bachelors,13
ef2d1f25-ba7c-45fb-baa2-abe49bbfc21a, HS-grad,9
0a1755a1-7bd0-437b-8ad3-9068df5d9355, Some-college,10
448f65c0-2425-4a42-b25d-2376328978f6, HS-grad,9
7bdb034a-7711-4ea3-89bc-8c62c8b76faf, HS-grad,9
acc884a9-c1cf-4e44-8297-799952e9cf07, Some-college,10
60e187bd-20d1-4831-9fc9-2685ba640108, Assoc-voc,11
67b379c7-50e6-4d37-8c11-5b45be951c0d, Assoc-voc,11
24257e43-579a-4920-8869-88cc30074890, HS-grad,9
3798432d-1dd1-484a-86b8-516627164303, HS-grad,9
449570ab-4e1d-4817-8990-f98e311ad7f7, HS-grad,9
f14b6296-9cd9-48a3-bc0b-19b060ec71a1, Some-college,10
759f0405-7551-406a-adc9-ce11d2048dbc, Some-college,10
2b97a9bd-c167-4b3c-af90-f22e706f20f9, HS-grad,9
d31bf38c-a808-449c-b798-8d641e5eada3, HS-grad,9
cb739cd2-73c5-45ac-ae5a-e7d3eaebf09e, Some-college,10
31790ed4-31be-44cd-af38-e58fe5ae35dd, Bachelors,13
df7b584e-b683-4898-859d-48d0e16c0e62, 11th,7
f6d120be-eaec-41c6-8999-7121f551f612, HS-grad,9
e7b216c9-9012-4a09-b99b-b88d650c77b9, HS-grad,9
, Some-college,10
85000e06-5b0d-4a46-be9f-c4f56a193bdb, Some-college,10
bd6d844b-89a2-4cd7-8ba3-7ab323457f28, Bachelors,13
dfffc795-3826-44c5-9f21-a8e14c4e77e4, 5th-6th,3
35ddc2c9-69c8-4af1-a5ca-ff97ae47ebfe, Bachelors,13
40693f78-cd85-41d5-ae03-fefe452ed170, HS-grad,9
72d79281-652e-4b0e-b629-c6a42c07be45, 10th,6
62ff755f-d354-4406-9129-7dc343e2ea36, Some-college,10
ee3f5a7a-507f-4acf-a049-d77f91ead5e5, HS-grad,9
b9628784-4bbf-4912-9fc7-4b0d084ae5a9, HS-grad,9
52327852-270c-4568-91c8-766c3a9e904b, Bachelors,13
f202f02b-a9d1-4f54-9d76-615c1ebe85c1, Assoc-acdm,12
199ef198-4104-4988-b18e-5abd9fef0973, Some-college,10
9e28f18e-458c-47f7-bc56-6b7b51fd2304, Some-college,10
d3a88c62-77ed-4b4e-8b6f-2f04cd0c89c1, Some-college,10
6ff146cb-65e1-4644-9e1f-c6911332a7ab, Masters,14
97587a64-a3e3-4b22-a588-8a75837cc3db, Bachelors,13
dd5e30d3-9399-4158-b50c-7535167d2aaa, HS-grad,9
, 11th,7
1c3b96e4-5dd8-4fb7-b241-2c1a169ea372, HS-grad,9
527ba597-6930-4a46-b688-79b7294be408, Bachelors,13
1aba4a5a-ba47-464f-aa91-b4175973dce8, HS-grad,9
1e034393-cfe9-4d4b-962f-e154eed8fc2d, Assoc-acdm,12
c8aafe9c-6755-481b-9a50-aef8b0581968, 10th,6
0936d1d0-fd66-4743-9f13-dab439c61ba8, Bachelors,13
68c17228-e699-44f7-b202-c86e8c69d5d8, HS-grad,9
f41fadb8-ec93-460d-a78e-5540c4cbebfc, Some-college,10
4a44ed36-6f47-4195-950f-6a7be0f3179f, HS-grad,9
f5931293-d0de-4eac-9406-3f46bb84ca0e, HS-grad,9
9c170be6-4f43-4c4a-8d04-b2555e021ef0, Some-college,10
a046866d-d9a8-40cb-95bc-bb3f3d053919, HS-grad,9
37ed1940-0a72-4551-b6db-9d21b29d141a, Some-college,10
74e49b02-fd92-4f05-ba02-7847ec88c252, Masters,14
872d79b7-63aa-4f4b-8310-ebbd94dd6986, Some-college,10
e8af6559-e4f7-4ab7-a70a-a7ecc52454db, 11th,7
5b1994d1-90bd-4c80-9765-5b252551b168, HS-grad,9
38600d40-1e76-470a-adaa-309d70670188, HS-grad,9
9fe988cb-6102-43c2-b75a-7572dd403b51, HS-grad,9
, HS-grad,9
1f2530cd-0eb4-4f92-95e3-b52b85fefc68, HS-grad,9
cd714ff1-8208-45c8-87b0-3dcc13c001d7, Some-college,10
80a15b54-2468-46f0-a47a-dd6561023e83, HS-grad,9
ed57d951-fdce-41ef-bbe7-1572962f0187, Some-college,10
f99c82bf-ab46-4995-8aa0-db977f99348f, HS-grad,9
511c8126-55ea-48b3-a0e1-b588434e869e, Assoc-acdm,12
e979cabe-bdbb-437f-8733-068bc6774d20, Some-college,10
a5b513dd-8c30-46d7-ab41-b9f1d681cfd8, HS-grad,9
70dcf32c-b3ac-4568-868b-afc6b71799f9, 7th-8th,4
b7337f9c-4ded-4b73-8f6b-bf78ac2da6d5, Prof-school,15
516f99e7-81c9-4c4b-93b7-8f06da2a96f0, HS-grad,9
b7348023-4e0f-4070-808a-ecfd262c2274, HS-grad,9
879a2dc4-ff26-43fb-951e-797098c4cd8e, HS-grad,9
